Trip_Type,Destination_Climate,Trip_Duration,Gender,Planned_Activity,Travel_Type,Accommodation_Type,Essential_Item_Categories
Business,Hot,5,Other,Shopping,Train,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Rainy,5,Other,Meetings,Bus,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Rainy,12,Male,Swimming,Train,Airbnb,"Toiletries, Clothes, Gadgets"
Business,Hot,17,Other,Hiking,Bus,Tent,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Cold,14,Other,Swimming,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,5,Male,Skiing,Car,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,21,Male,Meetings,Flight,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Rainy,4,Male,Swimming,Flight,Hostel,"Toiletries, Clothes, Gadgets"
Vacation,Cold,14,Female,Sightseeing,Car,Tent,"Outdoor Gear, Clothes"
Adventure,Rainy,9,Female,Shopping,Car,Airbnb,"Clothes, Gadgets"
Vacation,Rainy,19,Female,Swimming,Flight,Hotel,"Toiletries, Clothes, Gadgets"
Business,Cold,8,Other,Sightseeing,Flight,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Rainy,17,Male,Skiing,Bus,Tent,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,8,Male,Hiking,Bus,Tent,"Outdoor Gear, Clothes"
Adventure,Hot,7,Other,Sightseeing,Bus,Hostel,"Clothes, Toiletries"
Business,Rainy,20,Female,Shopping,Train,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Business,Hot,19,Other,Skiing,Bus,Hostel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,12,Male,Shopping,Flight,Hostel,"Outdoor Gear, Clothes"
Adventure,Cold,4,Male,Hiking,Car,Airbnb,"Outdoor Gear, Clothes"
Adventure,Hot,16,Female,Meetings,Train,Tent,"Documents, Clothes, Toiletries"
Adventure,Hot,4,Female,Shopping,Car,Airbnb,"Clothes, Toiletries"
Adventure,Rainy,11,Male,Swimming,Bus,Tent,"Toiletries, Clothes, Gadgets"
Vacation,Hot,6,Female,Sightseeing,Train,Hotel,"Clothes, Toiletries"
Vacation,Cold,19,Other,Sightseeing,Train,Airbnb,"Outdoor Gear, Clothes"
Adventure,Cold,1,Female,Sightseeing,Train,Airbnb,"Outdoor Gear, Clothes"
Business,Cold,3,Male,Hiking,Car,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Hot,4,Male,Meetings,Train,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Cold,13,Female,Hiking,Car,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,7,Male,Hiking,Train,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,1,Other,Meetings,Flight,Airbnb,"Documents, Clothes, Toiletries"
Adventure,Hot,10,Other,Skiing,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,8,Other,Swimming,Car,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,12,Male,Hiking,Bus,Hostel,"Outdoor Gear, Clothes"
Vacation,Rainy,3,Female,Swimming,Bus,Hostel,"Toiletries, Clothes, Gadgets"
Adventure,Hot,7,Female,Sightseeing,Bus,Hostel,"Clothes, Toiletries"
Adventure,Rainy,2,Female,Swimming,Flight,Hostel,"Toiletries, Clothes, Gadgets"
Business,Cold,7,Other,Skiing,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,1,Female,Hiking,Flight,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,6,Other,Meetings,Train,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Hot,18,Other,Shopping,Train,Hostel,"Clothes, Toiletries"
Vacation,Hot,18,Male,Shopping,Car,Tent,"Clothes, Toiletries"
Vacation,Cold,5,Female,Meetings,Bus,Airbnb,"Documents, Outdoor Gear, Clothes"
Vacation,Hot,8,Male,Meetings,Train,Tent,"Documents, Clothes, Toiletries"
Adventure,Rainy,6,Male,Swimming,Flight,Airbnb,"Toiletries, Clothes, Gadgets"
Vacation,Hot,17,Male,Meetings,Flight,Hostel,"Documents, Clothes, Toiletries"
Adventure,Cold,19,Other,Swimming,Train,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,15,Male,Hiking,Flight,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Cold,9,Other,Meetings,Bus,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Rainy,14,Male,Meetings,Flight,Tent,"Documents, Clothes, Gadgets"
Business,Cold,17,Female,Meetings,Train,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,8,Other,Skiing,Car,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,2,Male,Hiking,Car,Airbnb,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Vacation,Cold,16,Other,Skiing,Car,Airbnb,"Outdoor Gear, Clothes"
Vacation,Rainy,16,Female,Skiing,Train,Tent,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,9,Female,Swimming,Bus,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,21,Other,Sightseeing,Flight,Hostel,"Clothes, Toiletries"
Business,Rainy,7,Male,Meetings,Car,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,12,Male,Swimming,Bus,Hostel,"Clothes, Toiletries"
Vacation,Cold,10,Female,Meetings,Bus,Hostel,"Documents, Outdoor Gear, Clothes"
Adventure,Rainy,1,Male,Shopping,Train,Tent,"Clothes, Gadgets"
Business,Hot,5,Male,Skiing,Bus,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Cold,2,Female,Skiing,Train,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Cold,14,Other,Skiing,Car,Hostel,"Outdoor Gear, Clothes"
Adventure,Rainy,3,Other,Swimming,Flight,Tent,"Toiletries, Clothes, Gadgets"
Adventure,Rainy,5,Male,Hiking,Bus,Hostel,"Outdoor Gear, Clothes, Gadgets"
Vacation,Rainy,2,Other,Meetings,Train,Airbnb,"Documents, Clothes, Gadgets"
Adventure,Rainy,7,Male,Sightseeing,Train,Tent,"Clothes, Gadgets"
Adventure,Hot,11,Other,Sightseeing,Train,Airbnb,"Clothes, Toiletries"
Vacation,Cold,8,Other,Hiking,Flight,Hostel,"Outdoor Gear, Clothes"
Adventure,Cold,20,Other,Swimming,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,4,Female,Meetings,Car,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,14,Female,Shopping,Flight,Hotel,"Clothes, Toiletries"
Adventure,Rainy,7,Other,Skiing,Car,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Vacation,Rainy,7,Male,Meetings,Car,Hotel,"Documents, Clothes, Gadgets"
Business,Hot,3,Female,Meetings,Car,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Hot,20,Other,Sightseeing,Train,Hotel,"Clothes, Toiletries"
Vacation,Cold,19,Other,Meetings,Car,Airbnb,"Documents, Outdoor Gear, Clothes"
Vacation,Hot,17,Male,Shopping,Car,Hostel,"Clothes, Toiletries"
Adventure,Cold,3,Female,Shopping,Car,Airbnb,"Outdoor Gear, Clothes"
Business,Cold,14,Female,Sightseeing,Flight,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,7,Other,Skiing,Flight,Tent,"Outdoor Gear, Clothes, Gadgets"
Adventure,Rainy,21,Male,Swimming,Flight,Hotel,"Toiletries, Clothes, Gadgets"
Vacation,Cold,6,Male,Skiing,Car,Tent,"Outdoor Gear, Clothes"
Business,Hot,3,Male,Shopping,Car,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Rainy,15,Male,Hiking,Train,Hotel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,19,Female,Sightseeing,Flight,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Business,Rainy,11,Other,Shopping,Flight,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,12,Male,Meetings,Flight,Hotel,"Documents, Clothes, Toiletries"
Vacation,Hot,11,Male,Sightseeing,Car,Tent,"Clothes, Toiletries"
Vacation,Rainy,17,Female,Swimming,Bus,Hotel,"Toiletries, Clothes, Gadgets"
Vacation,Rainy,21,Male,Swimming,Train,Hotel,"Toiletries, Clothes, Gadgets"
Adventure,Rainy,12,Other,Shopping,Flight,Hotel,"Clothes, Gadgets"
Business,Rainy,19,Female,Hiking,Flight,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Hot,11,Male,Meetings,Train,Hostel,"Documents, Clothes, Toiletries"
Vacation,Cold,5,Other,Skiing,Flight,Tent,"Outdoor Gear, Clothes"
Business,Cold,16,Other,Shopping,Train,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,15,Male,Swimming,Bus,Airbnb,"Clothes, Toiletries"
Business,Hot,12,Male,Hiking,Bus,Airbnb,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Hot,9,Female,Swimming,Train,Airbnb,"Clothes, Toiletries"
Vacation,Rainy,3,Female,Swimming,Train,Hostel,"Toiletries, Clothes, Gadgets"
Business,Cold,4,Female,Swimming,Flight,Hostel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Rainy,19,Other,Swimming,Bus,Tent,"Toiletries, Clothes, Gadgets"
Business,Cold,7,Male,Swimming,Car,Tent,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,17,Male,Meetings,Train,Tent,"Documents, Outdoor Gear, Clothes"
Business,Cold,14,Female,Meetings,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,9,Male,Sightseeing,Car,Hotel,"Outdoor Gear, Clothes"
Business,Hot,3,Male,Meetings,Train,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Business,Rainy,10,Female,Meetings,Train,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Cold,2,Male,Sightseeing,Bus,Airbnb,"Outdoor Gear, Clothes"
Adventure,Rainy,5,Male,Swimming,Flight,Hotel,"Toiletries, Clothes, Gadgets"
Adventure,Hot,13,Female,Swimming,Car,Hostel,"Clothes, Toiletries"
Business,Rainy,1,Other,Hiking,Car,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Hot,19,Male,Meetings,Car,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Cold,16,Other,Meetings,Flight,Airbnb,"Documents, Outdoor Gear, Clothes"
Business,Rainy,8,Other,Sightseeing,Bus,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,18,Male,Shopping,Bus,Hostel,"Clothes, Toiletries"
Adventure,Hot,8,Female,Shopping,Train,Hostel,"Clothes, Toiletries"
Vacation,Cold,8,Male,Hiking,Car,Tent,"Outdoor Gear, Clothes"
Vacation,Hot,20,Male,Skiing,Car,Hotel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,18,Male,Meetings,Train,Airbnb,"Documents, Clothes, Toiletries"
Adventure,Hot,4,Female,Swimming,Train,Hostel,"Clothes, Toiletries"
Adventure,Cold,8,Male,Shopping,Car,Tent,"Outdoor Gear, Clothes"
Adventure,Cold,9,Female,Swimming,Bus,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,19,Male,Meetings,Flight,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Cold,4,Female,Meetings,Bus,Hostel,"Documents, Outdoor Gear, Clothes"
Business,Cold,8,Other,Meetings,Train,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,12,Male,Hiking,Bus,Hotel,"Outdoor Gear, Clothes"
Business,Hot,15,Other,Hiking,Car,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,9,Other,Swimming,Bus,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Cold,3,Female,Meetings,Train,Hotel,"Documents, Outdoor Gear, Clothes"
Business,Cold,17,Other,Meetings,Car,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,3,Male,Shopping,Flight,Hostel,"Outdoor Gear, Clothes"
Business,Rainy,18,Male,Hiking,Car,Hostel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Rainy,5,Male,Hiking,Bus,Hotel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Cold,15,Male,Sightseeing,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,13,Male,Swimming,Bus,Tent,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,15,Male,Shopping,Car,Hostel,"Outdoor Gear, Clothes"
Business,Rainy,15,Male,Swimming,Bus,Airbnb,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Rainy,16,Other,Meetings,Flight,Hotel,"Documents, Clothes, Gadgets"
Adventure,Hot,3,Male,Sightseeing,Bus,Airbnb,"Clothes, Toiletries"
Business,Cold,10,Other,Skiing,Car,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Rainy,6,Male,Skiing,Flight,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Business,Cold,7,Female,Sightseeing,Train,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,17,Male,Swimming,Bus,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,6,Other,Meetings,Bus,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,2,Female,Sightseeing,Train,Hostel,"Clothes, Toiletries"
Adventure,Rainy,5,Female,Meetings,Car,Airbnb,"Documents, Clothes, Gadgets"
Adventure,Hot,17,Other,Hiking,Bus,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,12,Female,Sightseeing,Bus,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Hot,14,Male,Skiing,Flight,Hotel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Cold,6,Other,Swimming,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Cold,16,Other,Skiing,Train,Airbnb,"Outdoor Gear, Clothes"
Vacation,Hot,17,Male,Swimming,Car,Airbnb,"Clothes, Toiletries"
Business,Hot,8,Other,Sightseeing,Train,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Rainy,15,Other,Sightseeing,Flight,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Rainy,15,Male,Meetings,Train,Airbnb,"Documents, Clothes, Gadgets"
Vacation,Hot,4,Female,Sightseeing,Car,Hotel,"Clothes, Toiletries"
Adventure,Cold,14,Male,Hiking,Bus,Hostel,"Outdoor Gear, Clothes"
Vacation,Cold,10,Female,Swimming,Bus,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,17,Female,Sightseeing,Train,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,6,Male,Meetings,Car,Tent,"Documents, Clothes, Toiletries"
Business,Cold,11,Male,Meetings,Car,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Cold,4,Female,Shopping,Train,Tent,"Outdoor Gear, Clothes"
Adventure,Cold,19,Other,Sightseeing,Bus,Tent,"Outdoor Gear, Clothes"
Business,Hot,12,Male,Meetings,Car,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Cold,10,Other,Sightseeing,Flight,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,20,Male,Skiing,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,1,Female,Hiking,Train,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Cold,16,Other,Shopping,Flight,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Cold,3,Other,Hiking,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Cold,21,Male,Meetings,Bus,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,17,Female,Sightseeing,Train,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Business,Hot,7,Other,Hiking,Bus,Airbnb,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Cold,2,Male,Meetings,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,10,Other,Shopping,Train,Tent,"Clothes, Toiletries"
Adventure,Cold,9,Female,Meetings,Flight,Hostel,"Documents, Outdoor Gear, Clothes"
Business,Hot,14,Male,Skiing,Bus,Hotel,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Business,Cold,1,Female,Shopping,Car,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Hot,3,Female,Meetings,Car,Hotel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,14,Other,Sightseeing,Car,Hostel,"Outdoor Gear, Clothes"
Adventure,Hot,20,Female,Skiing,Flight,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Hot,2,Male,Sightseeing,Train,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Business,Cold,3,Other,Skiing,Car,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Cold,14,Other,Meetings,Bus,Hostel,"Documents, Outdoor Gear, Clothes"
Vacation,Hot,10,Male,Shopping,Car,Tent,"Clothes, Toiletries"
Adventure,Cold,2,Male,Meetings,Car,Hostel,"Documents, Outdoor Gear, Clothes"
Vacation,Rainy,3,Other,Sightseeing,Train,Tent,"Clothes, Gadgets"
Adventure,Rainy,3,Female,Swimming,Train,Hostel,"Toiletries, Clothes, Gadgets"
Business,Rainy,4,Female,Sightseeing,Car,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,18,Female,Meetings,Flight,Tent,"Documents, Clothes, Toiletries"
Adventure,Rainy,5,Male,Hiking,Bus,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,5,Female,Sightseeing,Train,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,8,Male,Shopping,Train,Hostel,"Clothes, Toiletries"
Adventure,Rainy,16,Other,Swimming,Bus,Tent,"Toiletries, Clothes, Gadgets"
Vacation,Rainy,4,Female,Sightseeing,Train,Airbnb,"Clothes, Gadgets"
Vacation,Cold,12,Female,Meetings,Train,Hostel,"Documents, Outdoor Gear, Clothes"
Business,Rainy,10,Male,Shopping,Flight,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Business,Cold,18,Female,Skiing,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Cold,2,Other,Shopping,Flight,Airbnb,"Outdoor Gear, Clothes"
Vacation,Rainy,7,Male,Hiking,Flight,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,9,Other,Sightseeing,Car,Airbnb,"Outdoor Gear, Clothes"
Vacation,Rainy,7,Other,Meetings,Bus,Hostel,"Documents, Clothes, Gadgets"
Adventure,Hot,21,Female,Shopping,Flight,Hostel,"Clothes, Toiletries"
Adventure,Rainy,13,Female,Hiking,Car,Hotel,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,19,Male,Swimming,Train,Tent,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,4,Male,Sightseeing,Bus,Tent,"Clothes, Gadgets"
Vacation,Cold,1,Other,Hiking,Car,Hotel,"Outdoor Gear, Clothes"
Adventure,Cold,12,Other,Swimming,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,14,Male,Hiking,Bus,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Cold,6,Female,Skiing,Train,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,19,Male,Meetings,Car,Tent,"Documents, Outdoor Gear, Clothes"
Vacation,Rainy,6,Male,Meetings,Flight,Tent,"Documents, Clothes, Gadgets"
Vacation,Hot,9,Female,Skiing,Car,Hostel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,2,Other,Swimming,Car,Hotel,"Toiletries, Clothes, Gadgets"
Adventure,Hot,21,Male,Hiking,Flight,Hotel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,14,Female,Hiking,Bus,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Cold,6,Female,Sightseeing,Train,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Hot,5,Female,Hiking,Train,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,1,Female,Skiing,Car,Hotel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Rainy,6,Female,Meetings,Bus,Hotel,"Documents, Clothes, Gadgets"
Adventure,Hot,12,Other,Shopping,Train,Airbnb,"Clothes, Toiletries"
Vacation,Hot,17,Male,Sightseeing,Bus,Airbnb,"Clothes, Toiletries"
Adventure,Cold,5,Other,Sightseeing,Train,Tent,"Outdoor Gear, Clothes"
Adventure,Rainy,13,Male,Swimming,Flight,Hotel,"Toiletries, Clothes, Gadgets"
Business,Rainy,7,Male,Swimming,Flight,Hostel,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Business,Cold,21,Male,Shopping,Bus,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,14,Male,Meetings,Train,Tent,"Documents, Clothes, Gadgets"
Adventure,Hot,16,Male,Hiking,Car,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,20,Male,Swimming,Flight,Tent,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Cold,15,Male,Meetings,Car,Hostel,"Documents, Outdoor Gear, Clothes"
Business,Rainy,18,Male,Meetings,Train,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Business,Hot,14,Other,Meetings,Train,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Business,Rainy,19,Female,Sightseeing,Bus,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,17,Male,Hiking,Car,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,16,Other,Swimming,Train,Hostel,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Adventure,Cold,1,Other,Skiing,Bus,Hostel,"Outdoor Gear, Clothes"
Business,Cold,11,Male,Skiing,Car,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Hot,4,Other,Shopping,Train,Tent,"Clothes, Toiletries"
Adventure,Hot,13,Female,Swimming,Car,Tent,"Clothes, Toiletries"
Business,Rainy,2,Female,Swimming,Car,Hostel,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,13,Other,Meetings,Train,Tent,"Documents, Outdoor Gear, Clothes"
Vacation,Hot,13,Male,Hiking,Flight,Hotel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,8,Female,Swimming,Car,Hostel,"Clothes, Toiletries"
Adventure,Cold,19,Other,Skiing,Train,Hostel,"Outdoor Gear, Clothes"
Vacation,Hot,7,Male,Swimming,Car,Tent,"Clothes, Toiletries"
Vacation,Cold,21,Male,Swimming,Car,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Adventure,Cold,19,Other,Meetings,Bus,Hostel,"Documents, Outdoor Gear, Clothes"
Business,Cold,13,Female,Hiking,Bus,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,1,Male,Swimming,Flight,Tent,"Toiletries, Clothes, Gadgets"
Business,Cold,1,Male,Meetings,Train,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Rainy,21,Female,Skiing,Flight,Tent,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,11,Other,Swimming,Train,Hostel,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Hot,18,Other,Sightseeing,Train,Tent,"Clothes, Toiletries"
Adventure,Cold,14,Male,Shopping,Bus,Airbnb,"Outdoor Gear, Clothes"
Adventure,Hot,14,Male,Hiking,Train,Airbnb,"Outdoor Gear, Clothes, Toiletries"
Vacation,Cold,6,Other,Skiing,Train,Airbnb,"Outdoor Gear, Clothes"
Business,Hot,1,Other,Shopping,Train,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Cold,7,Female,Sightseeing,Train,Hotel,"Outdoor Gear, Clothes"
Adventure,Cold,15,Other,Skiing,Flight,Hotel,"Outdoor Gear, Clothes"
Vacation,Cold,15,Female,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes"
Adventure,Rainy,17,Other,Skiing,Car,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Cold,13,Male,Sightseeing,Car,Hostel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,7,Other,Shopping,Car,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Business,Rainy,17,Other,Skiing,Car,Hostel,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Adventure,Rainy,4,Female,Skiing,Flight,Hostel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,15,Other,Meetings,Flight,Hotel,"Documents, Formal Wear, Clothes, Gadgets"
Vacation,Hot,21,Female,Hiking,Train,Tent,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,9,Male,Hiking,Flight,Tent,"Outdoor Gear, Clothes, Toiletries"
Adventure,Rainy,12,Female,Shopping,Car,Tent,"Clothes, Gadgets"
Business,Hot,7,Other,Swimming,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Rainy,3,Female,Swimming,Train,Airbnb,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Business,Hot,15,Female,Hiking,Car,Airbnb,"Outdoor Gear, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,19,Male,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes"
Vacation,Rainy,13,Other,Hiking,Car,Tent,"Outdoor Gear, Clothes, Gadgets"
Adventure,Rainy,5,Other,Hiking,Bus,Hotel,"Outdoor Gear, Clothes, Gadgets"
Business,Rainy,15,Male,Swimming,Bus,Tent,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Rainy,16,Male,Hiking,Bus,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Vacation,Rainy,4,Male,Sightseeing,Flight,Hotel,"Clothes, Gadgets"
Adventure,Cold,1,Male,Swimming,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Rainy,18,Other,Sightseeing,Bus,Airbnb,"Clothes, Gadgets"
Business,Cold,12,Male,Shopping,Car,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,8,Other,Meetings,Bus,Tent,"Documents, Outdoor Gear, Clothes"
Adventure,Hot,9,Male,Meetings,Train,Hostel,"Documents, Clothes, Toiletries"
Business,Hot,13,Other,Sightseeing,Flight,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Hot,4,Other,Hiking,Car,Hotel,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,10,Female,Sightseeing,Car,Tent,"Documents, Outdoor Gear, Formal Wear, Clothes"
Business,Rainy,17,Male,Meetings,Car,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,5,Female,Skiing,Flight,Airbnb,"Outdoor Gear, Clothes, Toiletries"
